codigo_mao_de_obra;descricao;unidade;operacao;ups;tipo
7189;DESAT ESTRUTURA PRIM CE4 LM;UN;RETIRAR;2; LM 
6373;DESAT EST PRIM HT LM;UN;RETIRAR;6; LM 
6374;DESAT ESTRUTURA PRIM N1/M1/B1 LM;UN;RETIRAR;0.5; LM 
6375;DESAT ESTRUTURA PRIM N2/M2/B2/B2-E LM;UN;RETIRAR;0.5; LM 
7176;DESAT ESTR. PRIM N3, M3, B3 CRZ CONC LM;UN;RETIRAR;3; LM 
6376;DESAT EST PRIM N3/B3/T3 LM;UN;RETIRAR;2; LM 
6346;DESAT EST PRIM N4/B4/T4 LM;UN;RETIRAR;2; LM 
6347;DESAT EST PRIM P1,PT1,PTA1 LM;UN;RETIRAR;0.9; LM 
6629;DESAT EST PRIM P2,PT2 LM;UN;RETIRAR;3; LM 
6348;DESAT EST PRIM P3 LM;UN;RETIRAR;3; LM 
6349;DESAT EST PRIM P4 LM;UN;RETIRAR;3; LM 
6972;DESAT EST PRIM TE LM;UN;RETIRAR;2; LM 
6350;DESAT EST PRIM U1/U2 LM;UN;RETIRAR;0.3; LM 
6353;DESAT EST PRIM U3/U4 LM;UN;RETIRAR;1; LM 
6354;DESAT EST SEC EM REDE CONVENCIONAL LM;UN;RETIRAR;0.3; LM 
6355;DESAT EST SEC EM REDE MULTIPLEXADA LM;UN;RETIRAR;0.15; LM 
6973;DESAT IP CJ ILUM PST ORNAM;UN;RETIRAR;0.5; LM 
6370;DESAT ISOLADOR PILAR LM;UN;RETIRAR;0.5; LM 
6540;DESAT ISOLADOR PINO LM;UN;RETIRAR;0.16; LM 
7198;DESAT JUMPER NA REDE MT/BT LM;UN;RETIRAR;0.19; LM 
6470;EST ILUM DESAT LUMIN SIMPLES LM;UN;RETIRAR;0.5; LM 
6359;DESAT MAO FRANC LM;UN;RETIRAR;0.2; LM 
6212;DESAT MED EM CAIXA CP-REDE BIFASICO LM;UN;RETIRAR;0.85; LM 
6249;DESAT MED EM CAIXA CP-REDE MONOFAS LM;UN;RETIRAR;0.7; LM 
6213;DESAT MED EM CAIXA CP-REDE TRIFASICO LM;UN;RETIRAR;1.25; LM 
6217;DESAT MED EM CAIXA CP-TRAFO LM;UN;RETIRAR;1.1; LM 
7201;DESAT N1, M1, B1 CRZ DE CONC LM;UN;RETIRAR;0.75; LM 
7204;DESAT N2, M2, B2 CRZ DE CONC LM;UN;RETIRAR;0.75; LM 
7046;DESAT PADRAO CONCR M1/T1 COM ATERRAM LM;UN;RETIRAR;3; LM 
6055;DESAT PARA-RAIOS RD < 34,5 KV LM;UN;RETIRAR;0.3; LM 
6289;DESAT POSTE ACIMA 13 LM;UN;RETIRAR;4.5; LM 
6230;DESAT POSTE ATE 13 <69KV GUIND LM;UN;RETIRAR;3; LM 
6608;DESAT POSTE ATE 13 <69KV MANUAL LM;UN;RETIRAR;4.5; LM 
6296;DESAT RAMAL SERVICO BIFASICO LM;UN;RETIRAR;0.2; LM 
6297;DESAT RAMAL SERVICO MONOFASICO LM;UN;RETIRAR;0.2; LM 
6298;DESAT RAMAL SERVICO TRIFASICO LM;UN;RETIRAR;0.2; LM 
6290;DESAT REGUL NA REDE MT LM;UN;RETIRAR;3; LM 
6291;DESAT RELIGADOR NA REDE MT LM;UN;RETIRAR;3; LM 
6061;DESAT TRANSF DISTRIBUIC AEREO 3F LM;UN;RETIRAR;3; LM 
6056;DESAT TRANSF DIST AEREO MONOFASICO LM;UN;RETIRAR;2; LM 
92327;DIµRIA HOSPEDAGEM ALIMENTA€ÇO FORA DA REGIONAL (POR COLABORADOR) - LM - UN;UN;INSTALAR;2.46; LM 
6133;DISP H-MAQ P/EXEC SERV LM;HORA;INSTALAR;10.18; LM 
6317;DISTR PST RUR LM;UN;INSTALAR;3; LM 
6466;SERV TEC LM DIST PST OBRA LM (URBANO);UN;INSTALAR;3; LM 
6642;EFET LIG RUR FORA REDE REGIONAL ELETROM;UN;INSTALAR;0.5; LM 
6378;EFET LOCACAO PST AREA RUR LM;UN;INSTALAR;1.5; LM 
7029;EFET LOCACAO PST AREA URBANA LM;UN;INSTALAR;0.76; LM 
7037;EFET MANOBRA CHAV FUS AB/FEC LM;UN;INSTALAR;1; LM 
