id_lista_aplicacao_item,id_lista_aplicacao,ordem_item,codigo_material,descricao_item,unidade_medida,quantidade,criado_em,atualizado_em,criado_por,atualizado_por,removido_em,removido_por,id_acionamento,valor_unitario_upr,valor_total
570a5abc-d0b4-4102-8a02-f67cb384f552,,1,90461,CONECTOR GRAMPO LINHA VIVA ALUM 35-120MM2/10-95MM2 400A,UN,1.00,2025-12-22 19:10:57.169161+00,2025-12-22 19:10:57.169161+00,,,,,7dbf15c9-1285-4c08-bb8b-594120df084a,0,0
635644d0-6090-43e5-88a0-5811923cd791,65e5e7e7-104d-4520-b08f-0316901fe108,1,90835,"CABO ACO COBREADO 1F LCA IACS53% 7X2,59MM 35MM2",KG,50.00,2025-12-02 15:35:01.218171+00,2025-12-02 15:35:01.218171+00,,,,,,,
71b62877-f3b1-4352-8b70-be7891ccc20f,65e5e7e7-104d-4520-b08f-0316901fe108,2,90198,POSTE DISTR CONCR DT 11M 300DAN 330X448MM 110X140MM CL2,PC,15.00,2025-12-02 15:35:01.218171+00,2025-12-02 15:35:01.218171+00,,,,,,,
9d4a3dc1-1bfd-4745-860d-dd0925b88345,,1,90216,CINTA POSTE CIRCULAR ACO GALV 170MM 6MM 5000DAN,UN,1.00,2025-12-12 20:26:07.151675+00,2025-12-12 20:26:07.151675+00,,,,,8ea31820-5c9a-42f7-a5b4-108cf941f8a9,0,0
a988a21a-cfad-492b-a720-ba0603fa0ad9,,1,90345,"CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 5,88-8,01MM/2AWG VM",UN,1.00,2025-12-15 13:21:56.79744+00,2025-12-15 13:21:56.79744+00,,,,,5208b898-8ea7-47fb-83db-2f1826aa6910,0,0
bac8ad5f-3458-4222-a086-c80e9c1e1271,,1,90798,"CONECTOR CUNHA ALUM CN-15 10,40-14,53/10,40-14,53MM AZL",UN,1.00,2025-12-09 19:48:09.938685+00,2025-12-09 19:48:09.938685+00,,,,,251ae247-b16b-4110-9f01-fc4f844cebf9,0,0
f7b7926d-6576-4af2-a4d0-bea203956541,,2,90683,"ALCA PREF DISTR ACO-ZINC 5,70-6,45MM 430MM LRJ",UN,1.00,2025-12-09 19:48:09.938685+00,2025-12-09 19:48:09.938685+00,,,,,251ae247-b16b-4110-9f01-fc4f844cebf9,0,0
