id,id_acionamento,itens_lm,itens_lv,fora_horario,valor_ups_lm,valor_ups_lv,total_base_lm,total_base_lv,total_final_lm,total_final_lv,atualizado_por,atualizado_em
3620e82c-1eb1-41f6-bf72-40b54c2cbbb1,251ae247-b16b-4110-9f01-fc4f844cebf9,"[{""tipo"":""LM"",""codigo"":""6128"",""unidade"":""HEC"",""operacao"":""INSTALAR"",""valorUps"":16.13,""descricao"":""LIMP FAIXA CERRADO E CAPOEIRA"",""quantidade"":1},{""tipo"":""LM"",""codigo"":""6129"",""unidade"":""HEC"",""operacao"":""INSTALAR"",""valorUps"":22,""descricao"":""LIMP FAIXA VEGETACAO DENSA"",""quantidade"":1}]","[{""tipo"":""LV"",""codigo"":""6705"",""unidade"":""PEÇ"",""operacao"":""INSTALAR"",""valorUps"":2,""descricao"":""INST ESTRUTURA PRIM U4 LV"",""quantidade"":1}]",true,119.62,357.78,4561.11,715.56,5929.44,930.23,8fdb8fd8-bac8-437a-ad9d-eab69fbb7020,2025-12-12 18:10:34.597396+00
8b4e9685-2e15-4dea-aa57-7b394847fbf7,8ea31820-5c9a-42f7-a5b4-108cf941f8a9,"[{""tipo"":""LM"",""codigo"":""6042"",""unidade"":""UN"",""operacao"":""RETIRAR"",""valorUps"":0.3,""descricao"":""DESAT CHAVE FUSIVEL < 34,5 KV LM"",""quantidade"":1}]",[],false,119.62,357.78,35.89,0.00,40.19,0.00,8fdb8fd8-bac8-437a-ad9d-eab69fbb7020,2025-12-12 21:28:31.452942+00
94b404a0-75a2-4189-a74f-4d3ee3b4ce2a,5208b898-8ea7-47fb-83db-2f1826aa6910,[],"[{""tipo"":""LV"",""codigo"":""10996"",""unidade"":""PEÇ"",""operacao"":""INSTALAR"",""valorUps"":0.32,""descricao"":""SUBST BRACO ANTI-BAL REDE COMPACTA LV"",""quantidade"":2},{""tipo"":""LV"",""codigo"":""6151"",""unidade"":""KM"",""operacao"":""INSTALAR"",""valorUps"":0.06,""descricao"":""DESLOC EQUIP PESADA ACIMA 50 KM DA BASE"",""quantidade"":1},{""tipo"":""LV"",""codigo"":""6356"",""unidade"":""PEÇ"",""operacao"":""RETIRAR"",""valorUps"":0.06,""descricao"":""DESAT ESPAC RD BT LV"",""quantidade"":1},{""tipo"":""LV"",""codigo"":""6419"",""unidade"":""PEÇ"",""operacao"":""INSTALAR"",""valorUps"":0.2,""descricao"":""INST ESPAC REDE BT LV"",""quantidade"":1},{""tipo"":""LV"",""codigo"":""6102"",""unidade"":""PEÇ"",""operacao"":""RETIRAR"",""valorUps"":0.16,""descricao"":""SUBST PARA-RAIO RD <34,5KV LV"",""quantidade"":3}]",true,119.62,357.78,0.00,515.20,0.00,669.76,8fdb8fd8-bac8-437a-ad9d-eab69fbb7020,2025-12-23 12:00:12.883619+00
a567653b-9511-434f-8db0-9b22a8081128,7dbf15c9-1285-4c08-bb8b-594120df084a,"[{""tipo"":""LM"",""codigo"":""10521"",""unidade"":""POSTE"",""operacao"":""INSTALAR"",""valorUps"":0.34,""descricao"":""SERV INSPECAO EM REDE RURAL LM"",""quantidade"":1},{""tipo"":""LM"",""codigo"":""6042"",""unidade"":""UN"",""operacao"":""RETIRAR"",""valorUps"":0.3,""descricao"":""DESAT CHAVE FUSIVEL < 34,5 KV LM"",""quantidade"":1},{""tipo"":""LM"",""codigo"":""6046"",""unidade"":""CJ"",""operacao"":""RETIRAR"",""valorUps"":0.4,""descricao"":""DESAT CHAVE FUSIVEL 3 OP < 34,5 KV"",""quantidade"":15},{""tipo"":""LM"",""codigo"":""6170"",""unidade"":""UN"",""operacao"":""INSTALAR"",""valorUps"":0.5,""descricao"":""OPER CHAVE FACA AB E FC EMERG LM"",""quantidade"":3}]",[],false,119.62,357.78,973.71,0.00,1090.55,0.00,8fdb8fd8-bac8-437a-ad9d-eab69fbb7020,2025-12-23 12:24:41.434654+00
