id_obra,modalidade,numero_os,equipe,endereco,alimentador,id_poste,codigo_acionamento,numero_intervencao,nota_ss,os_tablet,encarregado,tecnico_eng,eletricistas_nr,saida_base,retorno_base,inicio_servico,retorno_servico,km_inicial,km_final,subestacao,numero_transformador,observacao,os_numero,os_data_abertura,os_data_envio_energisa,os_prazo_abertura_energisa,os_data_aberta_pela_energisa,os_status,tci_numero,tci_data_emissao,tci_status,gestor_aprovacao_status,gestor_aprovacao_data,gestor_observacao,criado_em
0b96f7e7-d807-4aea-8155-aea4ea458470,LM,AC-104-TMP-1764622969852,,,,,104,,,,,,,,,,,,,,,Obra rascunho gerada a partir do acionamento.,AC-104-TMP-1764622969852,2025-12-01 21:02:49.852+00,2025-12-01 21:02:49.852+00,7,,gerada,,,,,,,2025-12-01 21:02:49.41457+00
2d898f0a-f17b-4777-9304-caee1a81bc4a,LM,AC-105-TMP-1764621391761,,,,,105,,,,,,,,,,,,,,,Obra rascunho gerada a partir do acionamento.,AC-105-TMP-1764621391761,2025-12-01 20:36:31.761+00,2025-12-01 20:36:31.761+00,7,,gerada,,,,,,,2025-12-01 20:36:31.482312+00
