id,id_acionamento,codigo_material,quantidade_retirada,criado_em,classificacao
503a1395-0941-4505-8924-6a96b266aa24,8ea31820-5c9a-42f7-a5b4-108cf941f8a9,90347,1.00,2025-12-12 20:26:05.588646+00,sucata
5d26edc5-57b5-43fb-8894-2e8e9d049e1e,251ae247-b16b-4110-9f01-fc4f844cebf9,90309,1.00,2025-12-09 19:48:12.087572+00,descarte
9df48c38-4355-4bd9-bb42-3afc7474c563,5208b898-8ea7-47fb-83db-2f1826aa6910,91217,1.00,2025-12-15 13:21:56.120336+00,sucata
caea390c-b20f-4c73-b57d-9358edd55469,7dbf15c9-1285-4c08-bb8b-594120df084a,90256,1.00,2025-12-22 19:10:58.742684+00,descarte
f189afd8-8227-4f17-b25f-48b93c158ba3,7dbf15c9-1285-4c08-bb8b-594120df084a,91876,1.00,2025-12-22 19:10:58.742684+00,sucata
