id_log,id_acionamento,status,observacao,criado_em
35f251c7-437b-40e7-98ed-b580b3683ef7,c39dddbe-7efc-42dd-a2aa-d2d03d7d02cd,concluido,,2026-01-02 22:08:00+00
855c0558-9d97-4bee-b6f9-74e104f66f84,8ea31820-5c9a-42f7-a5b4-108cf941f8a9,reprovado,ajuste de valores,2025-12-29 15:56:00+00
8d9a367f-cbd0-44d0-adf6-2b9a0b9ad341,9ad4040b-6882-4fc3-9281-df90ae810f60,concluido,,2025-12-29 22:46:00+00
aaf3224c-02c6-4db9-9cd2-bddfc46e9e12,251ae247-b16b-4110-9f01-fc4f844cebf9,concluido,,2026-01-02 15:34:00+00
db17bf92-123e-4125-995d-67f764028790,8ea31820-5c9a-42f7-a5b4-108cf941f8a9,aguardando,"Ajustes enviados Aguardando ""de acordo""",2025-12-29 17:24:00+00
