id,user_id,role,acao,concedido_por,criado_em,motivo
4df89300-9e50-4ad5-bed3-083ccc186b45,7973975b-c868-43a4-8938-bec91c991351,ADMIN,removido,,2025-11-27 15:16:56.760627+00,
5d4638aa-5063-4c36-8792-c522e3b71b3e,5fbc2616-a269-4d91-bb71-badb95c32c2b,ADMIN,removido,,2025-11-27 15:30:04.47783+00,
8f36110e-6333-42eb-974f-4f2981533a7d,3864265d-2f7e-4ee6-ad48-875c36e6db4a,ADMIN,concedido,8fdb8fd8-bac8-437a-ad9d-eab69fbb7020,2025-12-05 18:59:18.412768+00,
a4596f7a-a454-4cc1-9185-1f899561576e,5fbc2616-a269-4d91-bb71-badb95c32c2b,ADMIN,concedido,,2025-11-27 15:27:09.197797+00,
f7fa27d0-e2bd-473a-b005-61d095d71613,8fdb8fd8-bac8-437a-ad9d-eab69fbb7020,ADMIN,concedido,,2025-11-27 15:53:53.511261+00,
